k,wssse,silhouette
2,6469.30122128231,0.6238114459361667
3,4850.529373649407,0.5004503642738636
4,3924.8746168299067,0.4917803392996914
5,3265.0187880393,0.48052565837955774
6,2836.575164617068,0.46763206583610206
7,2527.7794690564374,0.45715732961988564
8,2337.333515605137,0.41510169509064654
9,2172.4256846981043,0.40657050041639103
10,2006.7315875013953,0.41466697773354866
